"country" "mean_adr"
"1" "ABW" 128.34
"2" "AGO" 117.122928176796
"3" "AIA" 265
"4" "ALB" 84.3533333333333
"5" "AND" 202.652857142857
"6" "ARE" 135.564901960784
"7" "ARG" 117.761588785047
"8" "ARM" 99.9875
"9" "ASM" 72.07
"10" "ATA" 134.25
"11" "ATF" 126
"12" "AUS" 116.775258215962
"13" "AUT" 106.239580364212
"14" "AZE" 114.355882352941
"15" "BDI" 46
"16" "BEL" 113.847783945346
"17" "BEN" 123.2
"18" "BFA" 80.3
"19" "BGD" 149.8025
"20" "BGR" 111.893333333333
"21" "BHR" 145.33
"22" "BHS" 50.85
"23" "BIH" 110.765384615385
"24" "BLR" 103.318846153846
"25" "BOL" 115
"26" "BRA" 111.005337230216
"27" "BRB" 95
"28" "BWA" 118.5
"29" "CAF" 79.664
"30" "CHE" 121.830132947977
"31" "CHL" 118.890769230769
"32" "CHN" 110.538938938939
"33" "CIV" 119.916666666667
"34" "CMR" 88.327
"35" "CN" 108.688444096951
"36" "COL" 121.198028169014
"37" "COM" 165.305
"38" "CPV" 91.69625
"39" "CRI" 102.208947368421
"40" "CUB" 99.36625
"41" "CYM" 40.5
"42" "CYP" 98.6262745098039
"43" "CZE" 111.337777777778
"44" "DEU" 104.396755866612
"45" "DJI" 273
"46" "DMA" 105.3
"47" "DNK" 117.582804597701
"48" "DOM" 127.824285714286
"49" "DZA" 112.536116504854
"50" "ECU" 129.051111111111
"51" "EGY" 117.6609375
"52" "ESP" 116.995463352007
"53" "EST" 114.069397590361
"54" "ETH" 101.26
"55" "FIN" 104.032639821029
"56" "FJI" 135.33
"57" "FRA" 109.617276044167
"58" "FRO" 155.2
"59" "GAB" 143.375
"60" "GBR" 96.0220578778135
"61" "GEO" 169.015909090909
"62" "GGY" 100.266666666667
"63" "GHA" 126.45
"64" "GIB" 150.402222222222
"65" "GLP" 140
"66" "GNB" 83.1644444444444
"67" "GRC" 109.962734375
"68" "GTM" 75
"69" "GUY" 120
"70" "HKG" 128.13275862069
"71" "HND" 79
"72" "HRV" 111.0242
"73" "HUN" 113.178652173913
"74" "IDN" 116.625714285714
"75" "IMN" 117.45
"76" "IND" 113.608157894737
"77" "IRL" 98.1921718518519
"78" "IRN" 127.988674698795
"79" "IRQ" 106.957142857143
"80" "ISL" 111.567719298246
"81" "ISR" 110.695814648729
"82" "ITA" 113.948207647371
"83" "JAM" 105.785
"84" "JEY" 139.25125
"85" "JOR" 98.7761904761905
"86" "JPN" 121.240355329949
"87" "KAZ" 143.492105263158
"88" "KEN" 134.196666666667
"89" "KHM" 99
"90" "KIR" 108
"91" "KNA" 92.2
"92" "KOR" 113.219398496241
"93" "KWT" 131.32875
"94" "LAO" 181.665
"95" "LBN" 132.287419354839
"96" "LBY" 92.75
"97" "LCA" 80.75
"98" "LIE" 102.266666666667
"99" "LKA" 87.7571428571429
"100" "LTU" 100.273456790123
"101" "LUX" 132.393379790941
"102" "LVA" 96.0025454545455
"103" "MAC" 101.17375
"104" "MAR" 134.395521235521
"105" "MCO" 85.74
"106" "MDG" 44
"107" "MDV" 124.116666666667
"108" "MEX" 115.918941176471
"109" "MKD" 83.945
"110" "MLI" 89
"111" "MLT" 102.790555555556
"112" "MMR" 145
"113" "MNE" 110.3
"114" "MOZ" 112.186567164179
"115" "MRT" 97.65
"116" "MUS" 96.2242857142857
"117" "MWI" 83
"118" "MYS" 83.4957142857143
"119" "MYT" 177.75
"120" "NAM" 121.61
"121" "NCL" 175.5
"122" "NGA" 115.126176470588
"123" "NIC" 139
"124" "NLD" 108.085480038023
"125" "NOR" 121.633014827018
"126" "NPL" 85
"127" "NULL" 60.4868237704918
"128" "NZL" 108.682567567568
"129" "OMN" 99.2266666666667
"130" "PAK" 129.827857142857
"131" "PAN" 110.161111111111
"132" "PER" 121.776206896552
"133" "PHL" 154.35575
"134" "PLW" 136.29
"135" "POL" 107.099140369967
"136" "PRI" 84.205
"137" "PRT" 92.0414832270014
"138" "PRY" 112.6
"139" "PYF" 144
"140" "QAT" 144.604666666667
"141" "ROU" 115.03272
"142" "RUS" 118.700474683544
"143" "RWA" 83.265
"144" "SAU" 124.891458333333
"145" "SDN" 99
"146" "SEN" 126.061818181818
"147" "SGP" 97.9710256410256
"148" "SLE" 121.43
"149" "SLV" 148.85
"150" "SMR" 88.2
"151" "SRB" 99.430099009901
"152" "STP" 117
"153" "SUR" 93
"154" "SVK" 107.374153846154
"155" "SVN" 116.423157894737
"156" "SWE" 112.897001953125
"157" "SYC" 132.125
"158" "SYR" 98.3333333333333
"159" "TGO" 105.75
"160" "THA" 117.542542372881
"161" "TJK" 137.233333333333
"162" "TMP" 139.066666666667
"163" "TUN" 106.409230769231
"164" "TUR" 112.119959677419
"165" "TWN" 126.376274509804
"166" "TZA" 90.9
"167" "UGA" 84.5
"168" "UKR" 93.2392647058823
"169" "UMI" 200
"170" "URY" 130.9121875
"171" "USA" 122.992250834526
"172" "UZB" 96.9925
"173" "VEN" 106.708076923077
"174" "VGB" 100.5
"175" "VNM" 123.2675
"176" "ZAF" 111.14775
"177" "ZMB" 101.885
"178" "ZWE" 85.3075
"country" "mean_leadtime"
"1" "ABW" 126
"2" "AGO" 23.0966850828729
"3" "AIA" 0
"4" "ALB" 103.416666666667
"5" "AND" 47
"6" "ARE" 48.4117647058824
"7" "ARG" 66.8457943925234
"8" "ARM" 56.625
"9" "ASM" 89
"10" "ATA" 20.5
"11" "ATF" 116
"12" "AUS" 125.368544600939
"13" "AUT" 117.740300870942
"14" "AZE" 70.1764705882353
"15" "BDI" 26
"16" "BEL" 99.6673783091375
"17" "BEN" 274
"18" "BFA" 6
"19" "BGD" 28.0833333333333
"20" "BGR" 73.2533333333333
"21" "BHR" 173.8
"22" "BHS" 159
"23" "BIH" 59.6923076923077
