"reserved_room_type" "stays_in_week_nights" "stays_in_weekend_nights" "children" "babies"
"1" "C" 0 0 0 0
"2" "C" 0 0 0 0
"3" "A" 1 0 0 0
"4" "A" 1 0 0 0
"5" "A" 2 0 0 0
"6" "A" 2 0 0 0
"7" "C" 2 0 0 0
"8" "C" 2 0 0 0
"9" "A" 3 0 0 0
"10" "D" 3 0 0 0
"11" "E" 4 0 0 0
"12" "D" 4 0 0 0
"13" "D" 4 0 0 0
"14" "G" 4 0 1 0
"15" "E" 4 0 0 0
"16" "D" 4 0 0 0
"17" "E" 4 0 0 0
"18" "A" 1 0 0 0
"19" "A" 1 0 0 0
"20" "G" 4 0 0 0
"21" "F" 4 1 0 0
"22" "A" 4 2 0 0
"23" "A" 4 2 0 0
"24" "D" 4 2 0 0
"25" "D" 5 2 0 0
"26" "D" 5 2 0 0
"27" "D" 5 2 0 0
"28" "E" 5 2 0 0
"29" "A" 5 2 0 0
"30" "D" 5 2 0 0
"31" "A" 10 4 0 0
"32" "D" 11 4 0 0
"33" "E" 8 2 0 0
"34" "A" 4 2 0 0
"35" "D" 3 1 0 0
"36" "D" 3 1 0 0
"37" "A" 3 1 0 0
"38" "D" 3 1 0 0
"39" "D" 3 1 0 0
"40" "E" 3 2 0 0
"41" "G" 3 2 0 0
"42" "D" 3 2 0 0
"43" "F" 3 2 0 0
"44" "E" 3 2 0 0
"45" "A" 5 2 0 0
"46" "G" 5 2 2 0
"47" "A" 5 2 0 0
"48" "E" 5 2 0 0
"49" "A" 5 2 0 0
"50" "E" 5 2 0 0
"51" "D" 5 2 0 0
"52" "A" 8 3 0 0
"53" "D" 10 4 0 0
"54" "A" 1 0 0 0
"55" "H" 1 0 0 0
"56" "C" 1 0 2 0
"57" "H" 1 0 0 0
"58" "A" 1 0 0 0
"59" "G" 1 0 0 0
"60" "A" 2 0 0 0
"61" "G" 2 0 0 0
"62" "E" 2 0 0 0
"63" "F" 3 0 0 0
"64" "A" 3 0 0 0
"65" "A" 3 0 0 0
"66" "G" 2 0 2 0
"67" "A" 2 0 0 0
"68" "D" 2 0 0 0
"69" "A" 2 0 0 0
"70" "A" 2 0 0 0
"71" "D" 2 0 0 0
"72" "A" 2 0 0 0
"73" "A" 2 0 0 0
"74" "A" 2 0 0 0
"75" "A" 2 0 0 0
"76" "A" 2 1 0 0
"77" "E" 2 1 0 0
"78" "A" 2 2 0 0
"79" "A" 2 2 0 0
"80" "D" 6 2 0 0
"81" "A" 7 2 0 0
"82" "A" 7 3 0 0
"83" "A" 7 3 0 0
"84" "A" 7 3 0 0
"85" "E" 7 3 0 0
"86" "E" 10 4 0 0
"87" "F" 10 4 0 0
"88" "A" 15 6 1 0
"89" "A" 1 0 0 0
"90" "A" 1 0 0 0
"91" "A" 1 0 0 0
"92" "E" 1 0 0 0
"93" "C" 1 0 0 0
"94" "A" 1 0 0 0
"95" "A" 2 0 0 0
"96" "A" 2 0 0 0
"97" "F" 5 2 0 0
"98" "E" 5 2 0 0
"99" "D" 5 2 1 0
"100" "E" 5 2 0 0
"101" "A" 1 2 0 0
"102" "D" 1 2 0 0
"103" "F" 4 2 2 0
"104" "A" 4 2 0 0
"105" "E" 5 2 0 0
"106" "H" 5 2 2 0
"107" "D" 5 2 0 0
"108" "A" 5 2 0 0
"109" "A" 5 2 0 0
"110" "A" 5 2 0 1
"111" "D" 5 2 0 0
"112" "E" 5 2 0 1
"113" "A" 5 2 0 0
"114" "E" 6 2 0 0
"115" "E" 6 2 0 0
"116" "A" 6 2 0 0
"117" "D" 6 4 0 0
"118" "D" 6 4 0 0
"119" "D" 6 4 1 0
"120" "H" 1 0 2 0
"121" "D" 1 0 0 0
"122" "A" 1 0 0 0
"123" "E" 1 0 0 0
"124" "A" 1 0 0 0
"125" "D" 1 0 0 0
"126" "H" 1 0 0 0
"127" "E" 1 0 0 0
"128" "A" 1 1 0 0
"129" "A" 1 1 0 0
"130" "A" 1 1 0 0
"131" "A" 1 1 0 0
"132" "A" 0 1 0 0
"133" "D" 0 1 0 0
"134" "A" 0 1 0 0
"135" "A" 0 1 0 0
"136" "A" 0 1 0 0
"137" "A" 0 1 0 0
"138" "A" 0 1 0 0
"139" "D" 0 1 0 0
"140" "G" 0 1 0 0
"141" "G" 0 2 0 0
"142" "D" 0 2 0 0
"143" "D" 2 2 0 0
"144" "A" 3 2 1 0
"145" "E" 3 2 0 0
"146" "E" 3 2 0 0
"147" "H" 4 2 0 0
